day,temp,humidity,time,minutes
1,22,45,4/5/2021 19:00,1140.316667
1,22,45,4/5/2021 19:02,1142.316667
1,21,46,4/5/2021 19:04,1144.316667
1,21,46,4/5/2021 19:06,1146.333333
1,22,47,4/5/2021 19:08,1148.333333
1,22,45,4/5/2021 19:10,1150.333333
1,21,46,4/5/2021 19:12,1152.333333
1,21,49,4/5/2021 19:14,1154.35
1,21,49,4/5/2021 19:16,1156.35
1,24,39,4/5/2021 19:18,1158.35
1,24,41,4/5/2021 19:20,1160.35
1,24,41,4/5/2021 19:22,1162.366667
1,23,43,4/5/2021 19:24,1164.366667
1,23,44,4/5/2021 19:26,1166.366667
1,22,46,4/5/2021 19:28,1168.383333
1,23,43,4/5/2021 19:30,1170.383333
1,23,43,4/5/2021 19:32,1172.383333
1,23,43,4/5/2021 19:34,1174.383333
1,23,43,4/5/2021 19:36,1176.4
1,23,43,4/5/2021 19:38,1178.4
1,23,39,4/5/2021 19:40,1180.4
1,23,41,4/5/2021 19:42,1182.416667
1,25,38,4/5/2021 19:44,1184.416667
1,25,36,4/5/2021 19:46,1186.416667
1,24,40,4/5/2021 19:48,1188.433333
1,24,41,4/5/2021 19:50,1190.433333
1,23,44,4/5/2021 19:52,1192.433333
1,22,46,4/5/2021 19:54,1194.433333
1,23,46,4/5/2021 19:56,1196.433333
1,23,44,4/5/2021 19:58,1198.45
1,22,44,4/5/2021 20:00,1200.45
1,22,43,4/5/2021 20:02,1202.45
1,24,42,4/5/2021 20:04,1204.466667
1,24,41,4/5/2021 20:06,1206.466667
1,23,41,4/5/2021 20:08,1208.466667
1,22,45,4/5/2021 20:10,1210.483333
1,22,46,4/5/2021 20:12,1212.483333
1,22,48,4/5/2021 20:14,1214.483333
1,22,48,4/5/2021 20:16,1216.483333
1,23,45,4/5/2021 20:18,1218.5
1,24,43,4/5/2021 20:20,1220.5
1,24,42,4/5/2021 20:22,1222.5
1,23,44,4/5/2021 20:24,1224.516667
1,23,44,4/5/2021 20:26,1226.516667
1,22,46,4/5/2021 20:28,1228.516667
1,21,47,4/5/2021 20:30,1230.516667
1,21,47,4/5/2021 20:32,1232.533333
1,21,47,4/5/2021 20:34,1234.533333
1,20,46,4/5/2021 20:36,1236.533333
1,20,47,4/5/2021 20:38,1238.55
1,20,47,4/5/2021 20:40,1240.55
1,21,46,4/5/2021 20:42,1242.55
1,20,50,4/5/2021 20:44,1244.55
1,21,50,4/5/2021 20:46,1246.55
1,21,48,4/5/2021 20:48,1248.566667
1,22,48,4/5/2021 20:50,1250.566667
1,21,50,4/5/2021 20:52,1252.566667
1,21,50,4/5/2021 20:54,1254.583333
1,21,49,4/5/2021 20:56,1256.583333
1,21,49,4/5/2021 20:58,1258.583333
2,21,44,4/6/2021 19:00,1140.85
2,21,44,4/6/2021 19:02,1142.85
2,21,45,4/6/2021 19:04,1144.85
2,21,44,4/6/2021 19:06,1146.85
2,20,43,4/6/2021 19:08,1148.866667
2,20,43,4/6/2021 19:10,1150.866667
2,21,44,4/6/2021 19:12,1152.866667
2,21,45,4/6/2021 19:14,1154.883333
2,21,45,4/6/2021 19:16,1156.883333
2,21,45,4/6/2021 19:18,1158.883333
2,21,45,4/6/2021 19:20,1160.883333
2,20,44,4/6/2021 19:22,1162.9
2,20,44,4/6/2021 19:24,1164.9
2,20,44,4/6/2021 19:26,1166.9
2,20,44,4/6/2021 19:28,1168.916667
2,20,45,4/6/2021 19:30,1170.916667
2,21,46,4/6/2021 19:32,1172.916667
2,21,46,4/6/2021 19:34,1174.933333
2,21,47,4/6/2021 19:36,1176.933333
2,20,45,4/6/2021 19:38,1178.933333
2,20,45,4/6/2021 19:40,1180.933333
2,20,44,4/6/2021 19:42,1182.95
2,20,45,4/6/2021 19:44,1184.95
2,20,45,4/6/2021 19:46,1186.95
2,20,45,4/6/2021 19:48,1188.95
2,21,56,4/6/2021 19:50,1190.966667
2,21,52,4/6/2021 19:52,1192.966667
2,21,55,4/6/2021 19:54,1194.966667
2,20,53,4/6/2021 19:56,1196.983333
2,20,52,4/6/2021 19:58,1198.983333
2,20,52,4/6/2021 20:00,1200.983333
2,19,50,4/6/2021 20:03,1203
2,19,49,4/6/2021 20:05,1205
2,20,59,4/6/2021 20:07,1207
2,20,55,4/6/2021 20:09,1209
2,20,57,4/6/2021 20:11,1211.016667
2,20,57,4/6/2021 20:13,1213.016667
2,20,53,4/6/2021 20:15,1215.016667
2,19,51,4/6/2021 20:17,1217.033333
2,19,50,4/6/2021 20:19,1219.033333
2,19,57,4/6/2021 20:21,1221.033333
2,20,58,4/6/2021 20:23,1223.033333
2,20,60,4/6/2021 20:25,1225.05
2,20,54,4/6/2021 20:27,1227.05
2,20,51,4/6/2021 20:29,1229.05
2,20,51,4/6/2021 20:31,1231.05
2,19,50,4/6/2021 20:33,1233.066667
2,19,50,4/6/2021 20:35,1235.066667
2,19,50,4/6/2021 20:37,1237.066667
2,19,54,4/6/2021 20:39,1239.066667
2,19,56,4/6/2021 20:41,1241.083333
2,19,57,4/6/2021 20:43,1243.083333
2,19,54,4/6/2021 20:45,1245.083333
2,18,57,4/6/2021 20:47,1247.1
2,19,52,4/6/2021 20:49,1249.1
2,18,51,4/6/2021 20:51,1251.1
2,18,51,4/6/2021 20:53,1253.116667
2,18,50,4/6/2021 20:55,1255.116667
2,18,51,4/6/2021 20:57,1257.116667
2,18,58,4/6/2021 20:59,1259.116667
3,13,75,4/7/2021 19:00,1140.816667
3,12,73,4/7/2021 19:02,1142.833333
3,12,73,4/7/2021 19:04,1144.833333
3,12,73,4/7/2021 19:06,1146.833333
3,12,73,4/7/2021 19:08,1148.833333
3,12,73,4/7/2021 19:10,1150.85
3,12,74,4/7/2021 19:12,1152.85
3,12,76,4/7/2021 19:14,1154.85
3,12,75,4/7/2021 19:16,1156.866667
3,12,75,4/7/2021 19:18,1158.866667
3,12,75,4/7/2021 19:20,1160.866667
3,12,75,4/7/2021 19:22,1162.866667
3,12,75,4/7/2021 19:24,1164.883333
3,12,75,4/7/2021 19:26,1166.883333
3,12,75,4/7/2021 19:28,1168.883333
3,12,75,4/7/2021 19:30,1170.9
3,11,76,4/7/2021 19:32,1172.9
3,11,75,4/7/2021 19:34,1174.9
3,11,75,4/7/2021 19:36,1176.9
3,11,75,4/7/2021 19:38,1178.916667
3,11,75,4/7/2021 19:40,1180.916667
3,11,75,4/7/2021 19:42,1182.916667
3,11,75,4/7/2021 19:44,1184.916667
3,11,75,4/7/2021 19:46,1186.933333
3,11,75,4/7/2021 19:48,1188.933333
3,11,76,4/7/2021 19:50,1190.933333
3,11,75,4/7/2021 19:52,1192.95
3,11,75,4/7/2021 19:54,1194.95
3,11,76,4/7/2021 19:56,1196.95
3,11,75,4/7/2021 19:58,1198.983333
3,11,75,4/7/2021 20:00,1200.966667
3,11,75,4/7/2021 20:02,1202.966667
3,11,76,4/7/2021 20:04,1204.966667
3,11,76,4/7/2021 20:06,1206.983333
3,11,76,4/7/2021 20:08,1208.983333
3,11,76,4/7/2021 20:10,1210.983333
3,11,77,4/7/2021 20:12,1212.983333
3,11,76,4/7/2021 20:15,1215
3,11,75,4/7/2021 20:17,1217
3,11,76,4/7/2021 20:19,1219.016667
3,11,76,4/7/2021 20:21,1221.016667
3,11,77,4/7/2021 20:23,1223.016667
3,11,77,4/7/2021 20:25,1225.016667
3,11,77,4/7/2021 20:27,1227.016667
3,11,77,4/7/2021 20:29,1229.033333
3,11,76,4/7/2021 20:31,1231.033333
3,11,77,4/7/2021 20:33,1233.033333
3,11,77,4/7/2021 20:35,1235.116667
3,11,77,4/7/2021 20:37,1237.05
3,11,77,4/7/2021 20:39,1239.05
3,11,77,4/7/2021 20:41,1241.05
3,11,77,4/7/2021 20:43,1243.066667
3,11,78,4/7/2021 20:45,1245.066667
3,11,77,4/7/2021 20:47,1247.066667
3,11,77,4/7/2021 20:49,1249.083333
3,11,76,4/7/2021 20:51,1251.083333
3,11,77,4/7/2021 20:53,1253.083333
3,11,76,4/7/2021 20:55,1255.083333
3,12,76,4/7/2021 20:57,1257.1
3,12,76,4/7/2021 20:59,1259.1
4,13,70,4/8/2021 19:01,1141.333333
4,13,69,4/8/2021 19:03,1143.333333
4,13,71,4/8/2021 19:05,1145.35
4,13,71,4/8/2021 19:07,1147.35
4,12,72,4/8/2021 19:09,1149.35
4,12,74,4/8/2021 19:11,1151.366667
4,12,76,4/8/2021 19:13,1153.366667
4,12,75,4/8/2021 19:15,1155.366667
4,12,76,4/8/2021 19:17,1157.366667
4,12,79,4/8/2021 19:19,1159.383333
4,12,75,4/8/2021 19:21,1161.383333
4,12,77,4/8/2021 19:23,1163.383333
4,12,77,4/8/2021 19:25,1165.383333
4,12,76,4/8/2021 19:27,1167.4
4,12,80,4/8/2021 19:29,1169.4
4,12,78,4/8/2021 19:31,1171.4
4,11,78,4/8/2021 19:33,1173.416667
4,11,78,4/8/2021 19:35,1175.416667
4,11,79,4/8/2021 19:37,1177.416667
4,11,79,4/8/2021 19:39,1179.416667
4,11,79,4/8/2021 19:41,1181.433333
4,11,79,4/8/2021 19:43,1183.433333
4,11,80,4/8/2021 19:45,1185.433333
4,11,79,4/8/2021 19:47,1187.45
4,11,78,4/8/2021 19:49,1189.45
4,11,80,4/8/2021 19:51,1191.45
4,12,78,4/8/2021 19:53,1193.45
4,12,77,4/8/2021 19:55,1195.466667
4,12,77,4/8/2021 19:57,1197.466667
4,12,76,4/8/2021 19:59,1199.466667
4,12,76,4/8/2021 20:01,1201.483333
4,11,78,4/8/2021 20:03,1203.483333
4,11,79,4/8/2021 20:05,1205.483333
4,11,80,4/8/2021 20:07,1207.5
4,11,80,4/8/2021 20:09,1209.5
4,11,80,4/8/2021 20:11,1211.5
4,11,81,4/8/2021 20:13,1213.5
4,12,78,4/8/2021 20:15,1215.516667
4,12,74,4/8/2021 20:17,1217.516667
4,11,76,4/8/2021 20:19,1219.516667
4,11,78,4/8/2021 20:21,1221.516667
4,11,79,4/8/2021 20:23,1223.533333
4,11,80,4/8/2021 20:25,1225.533333
4,11,81,4/8/2021 20:27,1227.533333
4,11,81,4/8/2021 20:29,1229.533333
4,11,81,4/8/2021 20:31,1231.55
4,11,79,4/8/2021 20:33,1233.55
4,12,77,4/8/2021 20:35,1235.55
4,11,80,4/8/2021 20:37,1237.566667
4,11,81,4/8/2021 20:39,1239.566667
4,11,81,4/8/2021 20:41,1241.566667
4,11,81,4/8/2021 20:43,1243.566667
4,11,82,4/8/2021 20:45,1245.583333
4,11,82,4/8/2021 20:47,1247.583333
4,10,82,4/8/2021 20:49,1249.583333
4,10,83,4/8/2021 20:51,1251.6
4,10,82,4/8/2021 20:53,1253.6
4,11,82,4/8/2021 20:55,1255.6
4,11,79,4/8/2021 20:57,1257.6
4,11,81,4/8/2021 20:59,1259.616667
5,14,59,4/9/2021 19:01,1141.75
5,14,59,4/9/2021 19:03,1143.75
5,13,59,4/9/2021 19:05,1145.75
5,13,59,4/9/2021 19:07,1147.766667
5,13,60,4/9/2021 19:09,1149.766667
5,13,60,4/9/2021 19:11,1151.766667
5,13,61,4/9/2021 19:13,1153.766667
5,13,61,4/9/2021 19:15,1155.783333
5,13,62,4/9/2021 19:17,1157.783333
5,13,62,4/9/2021 19:19,1159.783333
5,13,63,4/9/2021 19:21,1161.8
5,13,64,4/9/2021 19:23,1163.8
5,13,63,4/9/2021 19:25,1165.8
5,13,64,4/9/2021 19:27,1167.816667
5,13,65,4/9/2021 19:29,1169.816667
5,13,65,4/9/2021 19:31,1171.85
5,13,65,4/9/2021 19:33,1173.816667
5,13,65,4/9/2021 19:35,1175.833333
5,13,65,4/9/2021 19:37,1177.833333
5,13,65,4/9/2021 19:39,1179.833333
5,12,65,4/9/2021 19:41,1181.833333
5,12,65,4/9/2021 19:43,1183.85
5,12,66,4/9/2021 19:45,1185.85
5,12,67,4/9/2021 19:47,1187.85
5,12,66,4/9/2021 19:49,1189.85
5,12,67,4/9/2021 19:51,1191.866667
5,12,67,4/9/2021 19:53,1193.866667
5,12,68,4/9/2021 19:55,1195.866667
5,12,68,4/9/2021 19:57,1197.866667
5,12,68,4/9/2021 19:59,1199.883333
5,12,69,4/9/2021 20:01,1201.883333
5,12,69,4/9/2021 20:03,1203.9
5,12,69,4/9/2021 20:05,1205.9
5,11,68,4/9/2021 20:07,1207.9
5,11,69,4/9/2021 20:09,1209.916667
5,11,69,4/9/2021 20:11,1211.9
5,11,70,4/9/2021 20:13,1213.916667
5,11,70,4/9/2021 20:15,1215.916667
5,11,70,4/9/2021 20:17,1217.933333
5,11,70,4/9/2021 20:19,1219.933333
5,11,70,4/9/2021 20:21,1221.933333
5,11,71,4/9/2021 20:23,1223.933333
5,11,71,4/9/2021 20:25,1225.933333
5,11,71,4/9/2021 20:27,1227.95
5,11,71,4/9/2021 20:29,1229.95
5,11,72,4/9/2021 20:31,1231.95
5,11,72,4/9/2021 20:33,1233.966667
5,11,72,4/9/2021 20:35,1235.966667
5,11,72,4/9/2021 20:37,1237.966667
5,10,71,4/9/2021 20:39,1239.983333
5,10,72,4/9/2021 20:41,1241.983333
5,10,72,4/9/2021 20:43,1243.983333
5,10,72,4/9/2021 20:45,1245.983333
5,10,72,4/9/2021 20:47,1247.983333
5,10,72,4/9/2021 20:50,1250
5,10,72,4/9/2021 20:52,1252
5,10,73,4/9/2021 20:54,1254.016667
5,10,73,4/9/2021 20:56,1256.016667
5,10,73,4/9/2021 20:58,1258.016667
5,10,74,4/9/2021 21:00,
