day,temp,humidity,time
1,22,45,4/5/2021 19:00:19
1,22,45,4/5/2021 19:02:19
1,21,46,4/5/2021 19:04:19
1,21,46,4/5/2021 19:06:20
1,22,47,4/5/2021 19:08:20
1,22,45,4/5/2021 19:10:20
1,21,46,4/5/2021 19:12:20
1,21,49,4/5/2021 19:14:21
1,21,49,4/5/2021 19:16:21
1,24,39,4/5/2021 19:18:21
1,24,41,4/5/2021 19:20:21
1,24,41,4/5/2021 19:22:22
1,23,43,4/5/2021 19:24:22
1,23,44,4/5/2021 19:26:22
1,22,46,4/5/2021 19:28:23
1,23,43,4/5/2021 19:30:23
1,23,43,4/5/2021 19:32:23
1,23,43,4/5/2021 19:34:23
1,23,43,4/5/2021 19:36:24
1,23,43,4/5/2021 19:38:24
1,23,39,4/5/2021 19:40:24
1,23,41,4/5/2021 19:42:25
1,25,38,4/5/2021 19:44:25
1,25,36,4/5/2021 19:46:25
1,24,40,4/5/2021 19:48:26
1,24,41,4/5/2021 19:50:26
1,23,44,4/5/2021 19:52:26
1,22,46,4/5/2021 19:54:26
1,23,46,4/5/2021 19:56:26
1,23,44,4/5/2021 19:58:27
1,22,44,4/5/2021 20:00:27
1,22,43,4/5/2021 20:02:27
1,24,42,4/5/2021 20:04:28
1,24,41,4/5/2021 20:06:28
1,23,41,4/5/2021 20:08:28
1,22,45,4/5/2021 20:10:29
1,22,46,4/5/2021 20:12:29
1,22,48,4/5/2021 20:14:29
1,22,48,4/5/2021 20:16:29
1,23,45,4/5/2021 20:18:30
1,24,43,4/5/2021 20:20:30
1,24,42,4/5/2021 20:22:30
1,23,44,4/5/2021 20:24:31
1,23,44,4/5/2021 20:26:31
1,22,46,4/5/2021 20:28:31
1,21,47,4/5/2021 20:30:31
1,21,47,4/5/2021 20:32:32
1,21,47,4/5/2021 20:34:32
1,20,46,4/5/2021 20:36:32
1,20,47,4/5/2021 20:38:33
1,20,47,4/5/2021 20:40:33
1,21,46,4/5/2021 20:42:33
1,20,50,4/5/2021 20:44:33
1,21,50,4/5/2021 20:46:33
1,21,48,4/5/2021 20:48:34
1,22,48,4/5/2021 20:50:34
1,21,50,4/5/2021 20:52:34
1,21,50,4/5/2021 20:54:35
1,21,49,4/5/2021 20:56:35
1,21,49,4/5/2021 20:58:35
2,21,44,4/6/2021 19:00:51
2,21,44,4/6/2021 19:02:51
2,21,45,4/6/2021 19:04:51
2,21,44,4/6/2021 19:06:51
2,20,43,4/6/2021 19:08:52
2,20,43,4/6/2021 19:10:52
2,21,44,4/6/2021 19:12:52
2,21,45,4/6/2021 19:14:53
2,21,45,4/6/2021 19:16:53
2,21,45,4/6/2021 19:18:53
2,21,45,4/6/2021 19:20:53
2,20,44,4/6/2021 19:22:54
2,20,44,4/6/2021 19:24:54
2,20,44,4/6/2021 19:26:54
2,20,44,4/6/2021 19:28:55
2,20,45,4/6/2021 19:30:55
2,21,46,4/6/2021 19:32:55
2,21,46,4/6/2021 19:34:56
2,21,47,4/6/2021 19:36:56
2,20,45,4/6/2021 19:38:56
2,20,45,4/6/2021 19:40:56
2,20,44,4/6/2021 19:42:57
2,20,45,4/6/2021 19:44:57
2,20,45,4/6/2021 19:46:57
2,20,45,4/6/2021 19:48:57
2,21,56,4/6/2021 19:50:58
2,21,52,4/6/2021 19:52:58
2,21,55,4/6/2021 19:54:58
2,20,53,4/6/2021 19:56:59
2,20,52,4/6/2021 19:58:59
2,20,52,4/6/2021 20:00:59
2,19,50,4/6/2021 20:03:00
2,19,49,4/6/2021 20:05:00
2,20,59,4/6/2021 20:07:00
2,20,55,4/6/2021 20:09:00
2,20,57,4/6/2021 20:11:01
2,20,57,4/6/2021 20:13:01
2,20,53,4/6/2021 20:15:01
2,19,51,4/6/2021 20:17:02
2,19,50,4/6/2021 20:19:02
2,19,57,4/6/2021 20:21:02
2,20,58,4/6/2021 20:23:02
2,20,60,4/6/2021 20:25:03
2,20,54,4/6/2021 20:27:03
2,20,51,4/6/2021 20:29:03
2,20,51,4/6/2021 20:31:03
2,19,50,4/6/2021 20:33:04
2,19,50,4/6/2021 20:35:04
2,19,50,4/6/2021 20:37:04
2,19,54,4/6/2021 20:39:04
2,19,56,4/6/2021 20:41:05
2,19,57,4/6/2021 20:43:05
2,19,54,4/6/2021 20:45:05
2,18,57,4/6/2021 20:47:06
2,19,52,4/6/2021 20:49:06
2,18,51,4/6/2021 20:51:06
2,18,51,4/6/2021 20:53:07
2,18,50,4/6/2021 20:55:07
2,18,51,4/6/2021 20:57:07
2,18,58,4/6/2021 20:59:07
3,13,75,4/7/2021 19:00:49
3,12,73,4/7/2021 19:02:50
3,12,73,4/7/2021 19:04:50
3,12,73,4/7/2021 19:06:50
3,12,73,4/7/2021 19:08:50
3,12,73,4/7/2021 19:10:51
3,12,74,4/7/2021 19:12:51
3,12,76,4/7/2021 19:14:51
3,12,75,4/7/2021 19:16:52
3,12,75,4/7/2021 19:18:52
3,12,75,4/7/2021 19:20:52
3,12,75,4/7/2021 19:22:52
3,12,75,4/7/2021 19:24:53
3,12,75,4/7/2021 19:26:53
3,12,75,4/7/2021 19:28:53
3,12,75,4/7/2021 19:30:54
3,11,76,4/7/2021 19:32:54
3,11,75,4/7/2021 19:34:54
3,11,75,4/7/2021 19:36:54
3,11,75,4/7/2021 19:38:55
3,11,75,4/7/2021 19:40:55
3,11,75,4/7/2021 19:42:55
3,11,75,4/7/2021 19:44:55
3,11,75,4/7/2021 19:46:56
3,11,75,4/7/2021 19:48:56
3,11,76,4/7/2021 19:50:56
3,11,75,4/7/2021 19:52:57
3,11,75,4/7/2021 19:54:57
3,11,76,4/7/2021 19:56:57
3,11,75,4/7/2021 19:58:59
3,11,75,4/7/2021 20:00:58
3,11,75,4/7/2021 20:02:58
3,11,76,4/7/2021 20:04:58
3,11,76,4/7/2021 20:06:59
3,11,76,4/7/2021 20:08:59
3,11,76,4/7/2021 20:10:59
3,11,77,4/7/2021 20:12:59
3,11,76,4/7/2021 20:15:00
3,11,75,4/7/2021 20:17:00
3,11,76,4/7/2021 20:19:01
3,11,76,4/7/2021 20:21:01
3,11,77,4/7/2021 20:23:01
3,11,77,4/7/2021 20:25:01
3,11,77,4/7/2021 20:27:01
3,11,77,4/7/2021 20:29:02
3,11,76,4/7/2021 20:31:02
3,11,77,4/7/2021 20:33:02
3,11,77,4/7/2021 20:35:07
3,11,77,4/7/2021 20:37:03
3,11,77,4/7/2021 20:39:03
3,11,77,4/7/2021 20:41:03
3,11,77,4/7/2021 20:43:04
3,11,78,4/7/2021 20:45:04
3,11,77,4/7/2021 20:47:04
3,11,77,4/7/2021 20:49:05
3,11,76,4/7/2021 20:51:05
3,11,77,4/7/2021 20:53:05
3,11,76,4/7/2021 20:55:05
3,12,76,4/7/2021 20:57:06
3,12,76,4/7/2021 20:59:06
4,13,70,4/8/2021 19:01:20
4,13,69,4/8/2021 19:03:20
4,13,71,4/8/2021 19:05:21
4,13,71,4/8/2021 19:07:21
4,12,72,4/8/2021 19:09:21
4,12,74,4/8/2021 19:11:22
4,12,76,4/8/2021 19:13:22
4,12,75,4/8/2021 19:15:22
4,12,76,4/8/2021 19:17:22
4,12,79,4/8/2021 19:19:23
4,12,75,4/8/2021 19:21:23
4,12,77,4/8/2021 19:23:23
4,12,77,4/8/2021 19:25:23
4,12,76,4/8/2021 19:27:24
4,12,80,4/8/2021 19:29:24
4,12,78,4/8/2021 19:31:24
4,11,78,4/8/2021 19:33:25
4,11,78,4/8/2021 19:35:25
4,11,79,4/8/2021 19:37:25
4,11,79,4/8/2021 19:39:25
4,11,79,4/8/2021 19:41:26
4,11,79,4/8/2021 19:43:26
4,11,80,4/8/2021 19:45:26
4,11,79,4/8/2021 19:47:27
4,11,78,4/8/2021 19:49:27
4,11,80,4/8/2021 19:51:27
4,12,78,4/8/2021 19:53:27
4,12,77,4/8/2021 19:55:28
4,12,77,4/8/2021 19:57:28
4,12,76,4/8/2021 19:59:28
4,12,76,4/8/2021 20:01:29
4,11,78,4/8/2021 20:03:29
4,11,79,4/8/2021 20:05:29
4,11,80,4/8/2021 20:07:30
4,11,80,4/8/2021 20:09:30
4,11,80,4/8/2021 20:11:30
4,11,81,4/8/2021 20:13:30
4,12,78,4/8/2021 20:15:31
4,12,74,4/8/2021 20:17:31
4,11,76,4/8/2021 20:19:31
4,11,78,4/8/2021 20:21:31
4,11,79,4/8/2021 20:23:32
4,11,80,4/8/2021 20:25:32
4,11,81,4/8/2021 20:27:32
4,11,81,4/8/2021 20:29:32
4,11,81,4/8/2021 20:31:33
4,11,79,4/8/2021 20:33:33
4,12,77,4/8/2021 20:35:33
4,11,80,4/8/2021 20:37:34
4,11,81,4/8/2021 20:39:34
4,11,81,4/8/2021 20:41:34
4,11,81,4/8/2021 20:43:34
4,11,82,4/8/2021 20:45:35
4,11,82,4/8/2021 20:47:35
4,10,82,4/8/2021 20:49:35
4,10,83,4/8/2021 20:51:36
4,10,82,4/8/2021 20:53:36
4,11,82,4/8/2021 20:55:36
4,11,79,4/8/2021 20:57:36
4,11,81,4/8/2021 20:59:37
5,14,59,4/9/2021 19:01:45
5,14,59,4/9/2021 19:03:45
5,13,59,4/9/2021 19:05:45
5,13,59,4/9/2021 19:07:46
5,13,60,4/9/2021 19:09:46
5,13,60,4/9/2021 19:11:46
5,13,61,4/9/2021 19:13:46
5,13,61,4/9/2021 19:15:47
5,13,62,4/9/2021 19:17:47
5,13,62,4/9/2021 19:19:47
5,13,63,4/9/2021 19:21:48
5,13,64,4/9/2021 19:23:48
5,13,63,4/9/2021 19:25:48
5,13,64,4/9/2021 19:27:49
5,13,65,4/9/2021 19:29:49
5,13,65,4/9/2021 19:31:51
5,13,65,4/9/2021 19:33:49
5,13,65,4/9/2021 19:35:50
5,13,65,4/9/2021 19:37:50
5,13,65,4/9/2021 19:39:50
5,12,65,4/9/2021 19:41:50
5,12,65,4/9/2021 19:43:51
5,12,66,4/9/2021 19:45:51
5,12,67,4/9/2021 19:47:51
5,12,66,4/9/2021 19:49:51
5,12,67,4/9/2021 19:51:52
5,12,67,4/9/2021 19:53:52
5,12,68,4/9/2021 19:55:52
5,12,68,4/9/2021 19:57:52
5,12,68,4/9/2021 19:59:53
5,12,69,4/9/2021 20:01:53
5,12,69,4/9/2021 20:03:54
5,12,69,4/9/2021 20:05:54
5,11,68,4/9/2021 20:07:54
5,11,69,4/9/2021 20:09:55
5,11,69,4/9/2021 20:11:54
5,11,70,4/9/2021 20:13:55
5,11,70,4/9/2021 20:15:55
5,11,70,4/9/2021 20:17:56
5,11,70,4/9/2021 20:19:56
5,11,70,4/9/2021 20:21:56
5,11,71,4/9/2021 20:23:56
5,11,71,4/9/2021 20:25:56
5,11,71,4/9/2021 20:27:57
5,11,71,4/9/2021 20:29:57
5,11,72,4/9/2021 20:31:57
5,11,72,4/9/2021 20:33:58
5,11,72,4/9/2021 20:35:58
5,11,72,4/9/2021 20:37:58
5,10,71,4/9/2021 20:39:59
5,10,72,4/9/2021 20:41:59
5,10,72,4/9/2021 20:43:59
5,10,72,4/9/2021 20:45:59
5,10,72,4/9/2021 20:47:59
5,10,72,4/9/2021 20:50:00
5,10,72,4/9/2021 20:52:00
5,10,73,4/9/2021 20:54:01
5,10,73,4/9/2021 20:56:01
5,10,73,4/9/2021 20:58:01
5,10,74,4/9/2021 21:00:01
